hospitalname,category,serviceCode,serviceName,servicePrice,state
Duke Raleigh Hospital,Chemistry,HCPCS 84630,Zinc level,$41.36,NC
Duke Raleigh Hospital,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$7.49,NC
Duke Raleigh Hospital,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$6.60,NC
Duke Raleigh Hospital,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,$44.33,NC
Duke Raleigh Hospital,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$18.92,NC
Duke Raleigh Hospital,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,$81.84,NC
Duke Raleigh Hospital,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$8.36,NC
Duke Raleigh Hospital,Immunology,HCPCS 86318,Covid-19 antibody test,$212.08,NC
Duke Raleigh Hospital,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$58.96,NC
Duke Raleigh Hospital,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$5.72,NC
Duke Raleigh Hospital,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$4.84,NC
Duke Raleigh Hospital,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,$29.04,NC
Duke Raleigh Hospital,Immunology,HCPCS 86334,Immunofixation electrophoresis; serum,$181.28,NC
Duke Raleigh Hospital,Immunology,HCPCS 86140,Measurement C-reactive protein,$74.36,NC
Duke Raleigh Hospital,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$36.52,NC
Duke Raleigh Hospital,Immunology,HCPCS 86255,Measurement of antibody to noninfectious agent,$10.56,NC
Duke Raleigh Hospital,Immunology,HCPCS 86161,Measurement of complement (immune system proteins),$71.28,NC
Duke Raleigh Hospital,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$5.72,NC
Duke Raleigh Hospital,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$11.88,NC
Duke Raleigh Hospital,Immunology,HCPCS 86431,Rheumatoid factor level,$33.88,NC
Duke Raleigh Hospital,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$28.16,NC
Duke Raleigh Hospital,Immunology,HCPCS 86580,Skin test for tuberculosis,$25.96,NC
Duke Raleigh Hospital,Immunology,HCPCS 86592,Syphilis Detection Test,$3.96,NC
Duke Raleigh Hospital,Immunology,HCPCS 86361,T cell count and ratio,$20.24,NC
Duke Raleigh Hospital,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio",$24.64,NC
Duke Raleigh Hospital,Immunology,HCPCS 86359,"T cells count, total",$19.80,NC
Duke Raleigh Hospital,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,$7.48,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),$30.36,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$64.24,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$48.40,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87491,Chlamydia Test,$51.48,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87635,Covid-19 current infection test,$44.00,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87493,Detection test for clostridium difficile,$88.44,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),$36.08,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87497,"Detection test for cytomegalovirus, quantification",$381.92,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$4.84,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87536,"Detection test for HIV-1 virus, quantification",$114.40,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$51.48,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87517,Hepatitis B Detection,$122.76,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,$11.44,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87624,HPV Detection,$81.40,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87230,Microbial toxin or antitoxin assay,$13.46,NC
Duke Raleigh Hospital,Microbiology,HCPCS 86735,Mumps virus antibody test,$7.04,NC
Duke Raleigh Hospital,Microbiology,HCPCS 86747,Parvovirus antibody test,$15.84,NC
Duke Raleigh Hospital,Microbiology,HCPCS 86762,Rubella virus antibody test,$6.60,NC
Duke Raleigh Hospital,Microbiology,HCPCS 86765,Rubeola virus antibody test,$6.60,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87207,Smear for infectious agents,$82.28,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87177,Smear for Parasites,$11.00,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87206,Special stain for microorganism; special stain for parasites,$7.04,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87045,Stool Culture,$55.44,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87880,Strep Test,$39.16,NC
Duke Raleigh Hospital,Microbiology,HCPCS 87804,Test for Influenza Virus,$9.24,NC
Duke Raleigh Hospital,Microbiology,HCPCS 86780,Treponema pallidum antibody test,$46.64,NC
Duke Raleigh Hospital,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,$6.16,NC
Duke Raleigh Hospital,Molecular pathology,HCPCS 81256,Gene analysis (hemochromatosis) common variants,$90.20,NC
Duke Raleigh Hospital,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,$22.44,NC
Duke Raleigh Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$70.84,NC
Duke Raleigh Hospital,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$84.92,NC
Duke Raleigh Hospital,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$60.28,NC
Duke Raleigh Hospital,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$69.96,NC
Duke Raleigh Hospital,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$66.44,NC
Duke Raleigh Hospital,Organ or Disease Oriented Panels,HCPCS 80055,Obstetric blood test panel,$133.32,NC
Duke Raleigh Hospital,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,$77.00,NC
Duke Raleigh Hospital,Therapeutic Drug Assays,HCPCS 80299,Cortisol (hormone) measurement,$90.20,NC
Duke Raleigh Hospital,Therapeutic Drug Assays,HCPCS 80158,Cyclosporine level,$26.84,NC
Duke Raleigh Hospital,Therapeutic Drug Assays,HCPCS 80162,Digoxin level,$47.96,NC
Duke Raleigh Hospital,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,$31.24,NC
Duke Raleigh Hospital,Therapeutic Drug Assays,HCPCS 80177,Levetiracetam level,$107.80,NC
Duke Raleigh Hospital,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,$38.28,NC
Duke Raleigh Hospital,Therapeutic Drug Assays,HCPCS 80184,Phenobarbital level,$49.72,NC
Duke Raleigh Hospital,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,$54.56,NC
Duke Raleigh Hospital,Therapeutic Drug Assays,HCPCS 80197,Tacrolimus Level,$160.60,NC
Duke Raleigh Hospital,Therapeutic Drug Assays,HCPCS 80164,Valproic acid level,$72.16,NC
Duke Raleigh Hospital,Therapeutic Drug Assays,HCPCS 80202,Vancomycin (antibiotic) level,$74.80,NC
Duke Raleigh Hospital,Transfusion,HCPCS 86900,"Blood Typing, ABO",$18.48,NC
Duke Raleigh Hospital,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$17.60,NC
Duke Raleigh Hospital,Transfusion,HCPCS 86922,Blood Unit Compatibility Test; Antiglobulin Technique,$38.28,NC
Duke Raleigh Hospital,Transfusion,HCPCS 86945,"Irradiation blood product, each unit",$11.44,NC
Duke Raleigh Hospital,Transfusion,HCPCS 86880,Red blood cell (RBC) antibody detection test,$32.56,NC
Duke Raleigh Hospital,Transfusion,HCPCS 86906,Screening test for compatible blood unit,$96.36,NC
Duke Raleigh Hospital,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,$41.36,NC
Duke Raleigh Hospital,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$12.32,NC
Duke Raleigh Hospital,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$16.72,NC
Duke Raleigh Hospital,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$28.60,NC
Duke Raleigh Hospital,Urinalysis,HCPCS 81025,Urine Pregnancy Test,$40.48,NC
Duke Raleigh Hospital,Cardiovascular,HCPCS 93015,"Cardiovascular stress test, with interpretation and report",$60.51,NC
Duke Raleigh Hospital,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report",$311.96,NC
Duke Raleigh Hospital,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$14.44,NC
Duke Raleigh Hospital,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",$81.84,NC
Duke Raleigh Hospital,Cardiovascular,HCPCS 93041,Heart rhythm symptom-related tracing of 24-hour EKG monitoring up to 30 days,$43.56,NC
Duke Raleigh Hospital,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,$202.40,NC
Duke Raleigh Hospital,Cardiovascular,HCPCS 93660,Tilt table test to evaluate heart (for unexplained fainting),"$1,289.20",NC
Duke Raleigh Hospital,Cardiovascular,HCPCS 93975,Ultrasound Heart,$387.20,NC
Duke Raleigh Hospital,Pulmonary,HCPCS 94640,Aerosol Treatment,$46.20,NC
Duke Raleigh Hospital,Pulmonary,HCPCS 94729,Blood osmolality (concentration) measurement,$129.80,NC
Duke Raleigh Hospital,Pulmonary,HCPCS 94618,Pulmonary stress test,$106.92,NC
Duke Raleigh Hospital,Pulmonary,HCPCS 94010,Spirometry - breathing test,$96.80,NC
Duke Raleigh Hospital,Sleep,HCPCS 95810,Sleep study,"$1,482.36",NC
Duke Raleigh Hospital,Breast,HCPCS 77063,3D Mammogram Screening (Tomosynthesis),$29.04,NC
Duke Raleigh Hospital,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",$134.64,NC
Duke Raleigh Hospital,Breast,HCPCS 77067,Mammogram Screening,$107.36,NC
Duke Raleigh Hospital,Breast,HCPCS 77066,Mammography of both breasts,$185.68,NC
Duke Raleigh Hospital,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,$498.08,NC
Duke Raleigh Hospital,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,$838.20,NC
Duke Raleigh Hospital,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$734.80,NC
Duke Raleigh Hospital,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",$792.44,NC
Duke Raleigh Hospital,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,"$2,053.04",NC
Duke Raleigh Hospital,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,580.48",NC
Duke Raleigh Hospital,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,"$1,496.00",NC
Duke Raleigh Hospital,CT Scan,HCPCS 74160,CT scan of abdomen with contrast material,$976.80,NC
Duke Raleigh Hospital,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,"$1,116.28",NC
Duke Raleigh Hospital,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material",$711.48,NC
Duke Raleigh Hospital,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material",$667.92,NC
Duke Raleigh Hospital,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast",$976.80,NC
Duke Raleigh Hospital,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)",$721.16,NC
Duke Raleigh Hospital,MRA,HCPCS 70544,"Magnetic resonance angiography, head; without contrast material(s)","$1,122.00",NC
Duke Raleigh Hospital,MRI,HCPCS 72146,MRI chest spine without contrast material,"$1,393.04",NC
Duke Raleigh Hospital,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$1,381.60",NC
Duke Raleigh Hospital,MRI,HCPCS 72158,MRI lumbar spine without & with contrast material,"$1,985.28",NC
Duke Raleigh Hospital,MRI,HCPCS 72141,MRI neck spine without contrast material,"$1,415.04",NC
Duke Raleigh Hospital,MRI,HCPCS 72156,MRI neck spine without & with contrast material,"$1,774.08",NC
Duke Raleigh Hospital,MRI,HCPCS 74183,MRI of abdomen without & with contrast material,"$1,564.64",NC
Duke Raleigh Hospital,MRI,HCPCS 73221,MRI of upper extremity joint; without contrast material,"$1,343.76",NC
Duke Raleigh Hospital,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$1,910.04",NC
Duke Raleigh Hospital,MRI,HCPCS 70551,MRI scan of brain (including brain stem); without contrast material,"$1,342.88",NC
Duke Raleigh Hospital,MRI,HCPCS 73721,MRI scan of leg joint,"$1,319.12",NC
Duke Raleigh Hospital,Ultrasound,HCPCS 76805,"Abdominal ultrasound of pregnant uterus, first trimester",$308.00,NC
Duke Raleigh Hospital,Ultrasound,HCPCS 76506,Ultrasound Blood Flow Outside the Brain,$135.96,NC
Duke Raleigh Hospital,Ultrasound,HCPCS 76770,"Ultrasound exam of abdomenal back wall, complete",$323.84,NC
Duke Raleigh Hospital,Ultrasound,HCPCS 76536,Ultrasound exam of head and neck,$261.36,NC
Duke Raleigh Hospital,Ultrasound,HCPCS 76942,Ultrasound guidance for biopsy,$253.88,NC
Duke Raleigh Hospital,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$424.16,NC
Duke Raleigh Hospital,Ultrasound,HCPCS 76705,"Ultrasound of abdomen, limited",$289.08,NC
Duke Raleigh Hospital,Ultrasound,HCPCS 76857,Ultrasound of pelvis,$187.00,NC
Duke Raleigh Hospital,Ultrasound,HCPCS 76856,"Ultrasound, pelvic, complete",$393.80,NC
Duke Raleigh Hospital,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$290.40,NC
Duke Raleigh Hospital,Ultrasound,HCPCS 76881,Ultrasound Veins of Both Arms or Legs,$267.52,NC
Duke Raleigh Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),"$12,071.95",NC
Duke Raleigh Hospital,Abdomenal,HCPCS 52000,Diagnostic examination of the bladder and bladder canal (urethra) using an endoscope,$605.88,NC
Duke Raleigh Hospital,Abdomenal,HCPCS 51702,Insertion of Indwelling Bladder Catheter,$102.96,NC
Duke Raleigh Hospital,Abdomenal,HCPCS 51701,Insertion of temporary bladder catheter,$91.96,NC
Duke Raleigh Hospital,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),"$15,073.28",NC
Duke Raleigh Hospital,Abdomenal,HCPCS 50590,Shock wave crushing of kidney stones,"$1,485.00",NC
Duke Raleigh Hospital,Abdomenal,HCPCS 49585,Umbilical hernia repair (age over 5),"$2,152.48",NC
Duke Raleigh Hospital,Breast,HCPCS 19101,Biopsy of breast,$492.36,NC
Duke Raleigh Hospital,Cardiac,MSDRG 227,Cardiac defibrillator implant without cardiac catherization,"$38,169.62",NC
Duke Raleigh Hospital,Cardiac,MSDRG 216,Cardiac valve procedure,"$109,247.30",NC
Duke Raleigh Hospital,Cardiac,MSDRG 234,Coronary bypass with cardiac catheterization,"$65,062.08",NC
Duke Raleigh Hospital,Cardiac,MSDRG 236,Coronary bypass without cardiac catheterization,"$53,729.45",NC
Duke Raleigh Hospital,Cardiac,HCPCS 33249,Defibrillator complete system,"$5,732.76",NC
Duke Raleigh Hospital,Cardiac,HCPCS 33240,Defibrillator generator,"$9,817.72",NC
Duke Raleigh Hospital,Cardiac,HCPCS 93452,Diagnostic heart catheterization,"$4,213.00",NC
Duke Raleigh Hospital,Cardiac,HCPCS 93451,Diagnostic heart catheterization (right side),"$3,455.76",NC
Duke Raleigh Hospital,Cardiac,HCPCS 93320,"Doppler ultrasound of heart blood flow, valves, and chambers",$195.36,NC
Duke Raleigh Hospital,Cardiac,MSDRG 247,Implant drug-eluting stent,"$22,721.87",NC
Duke Raleigh Hospital,Cardiac,MSDRG 244,Implant Permanent Cardiac Pacemaker,"$19,187.79",NC
Duke Raleigh Hospital,Cardiac,HCPCS 33228,Replacement of dual lead permanent pacemaker pulse generator,"$2,561.68",NC
Duke Raleigh Hospital,Digestive,HCPCS 43235,EGD,"$1,004.08",NC
Duke Raleigh Hospital,Digestive,HCPCS 43239,EGD and biopsy,"$1,033.56",NC
Duke Raleigh Hospital,Female Reproductive,MSDRG 743,"Uterine and adnexa procedures, non-malignancy","$8,438.39",NC
Duke Raleigh Hospital,General,HCPCS 55700,Biopsy of prostate gland,"$1,268.08",NC
Duke Raleigh Hospital,General,HCPCS 10060,Drainage of Abscess,$159.28,NC
Duke Raleigh Hospital,General,HCPCS 10120,"Incision and removal of foreign body, subcutaneous tissues; simple",$176.88,NC
Duke Raleigh Hospital,General,HCPCS 69200,Removal of foreign body from ear canal,$67.76,NC
Duke Raleigh Hospital,General,HCPCS 12002,Repair of Wound (2.6 to 7.5 centimeters),$196.24,NC
Duke Raleigh Hospital,General,HCPCS 12005,Repair of Wound (7.6 to 12.5 cm),$239.36,NC
Duke Raleigh Hospital,General,HCPCS 12011,"Simple wound repair of face, including ears; 2.5 cm or less",$195.36,NC
Duke Raleigh Hospital,General,HCPCS 12001,"Simple wound repair of scalp, neck, external genitalia; 2.5 cm or less",$183.48,NC
Duke Raleigh Hospital,Head,HCPCS 67028,Injection of drug into the eye,$244.62,NC
Duke Raleigh Hospital,Musculoskeletal,MSDRG 455,Bi-lateral (combined anterior/posterior) spinal fusion,"$34,316.05",NC
Duke Raleigh Hospital,Musculoskeletal,HCPCS 26770,Closed treatment of dislocated finger joint with manipulation,$336.60,NC
Duke Raleigh Hospital,Musculoskeletal,HCPCS 62323,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,$899.36,NC
Duke Raleigh Hospital,Musculoskeletal,HCPCS 62321,Injection of substance into spinal canal of upper or middle back using imaging guidance,"$1,320.00",NC
Duke Raleigh Hospital,Musculoskeletal,HCPCS 64483,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,$737.00,NC
Duke Raleigh Hospital,Musculoskeletal,HCPCS 27200,Insertion of Breathing Tube Using an Endoscope,$146.52,NC
Duke Raleigh Hospital,Musculoskeletal,HCPCS 20610,Joint arthrocentesis,$328.24,NC
Duke Raleigh Hospital,Musculoskeletal,MSDRG 470,Joint replacement (hip or knee),"$18,593.01",NC
Duke Raleigh Hospital,Musculoskeletal,MSDRG 473,Spinal fusion (cervical),"$18,330.65",NC
Duke Raleigh Hospital,Musculoskeletal,MSDRG 460,Spinal fusion (non-cervical),"$33,068.24",NC
Duke Raleigh Hospital,Musculoskeletal,HCPCS 29580,"Strapping, Unna boot",$195.36,NC
Duke Raleigh Hospital,Obstetrics,MSDRG 788,Cesarean Section (C-Section) Delivery of Child,"$9,006.66",NC
Duke Raleigh Hospital,Obstetrics,HCPCS 59400,Routine obstetric care,"$2,452.12",NC
Duke Raleigh Hospital,Obstetrics,MSDRG 807,Vaginal Delivery of Child,"$6,189.90",NC
Duke Raleigh Hospital,Soft Tissue,HCPCS 97597,Debridement of open wound,$151.80,NC
Duke Raleigh Hospital,Soft Tissue,HCPCS 97602,Non-selective debridement,$96.80,NC
Duke Raleigh Hospital,Vascular,HCPCS 36592,Collection of blood specimen from central or peripheral venous catheter,$56.76,NC
Duke Raleigh Hospital,Vascular,HCPCS 36416,Collection of capillary blood specimen,$14.52,NC
Duke Raleigh Hospital,Vascular,HCPCS 36556,Insert non-tunneled catheter (age over 5),$990.00,NC
Duke Raleigh Hospital,Vascular,HCPCS 36430,Transfusion of Blood or Blood Products,"$2,508.00",NC
Duke Raleigh Hospital,Vascular,HCPCS 36590,Ultrasound Veins of One Arm or Leg,"$1,058.64",NC
Duke Raleigh Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$243.00,NC
Duke Raleigh Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,000.00",NC
Duke Raleigh Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$110.83,NC
Duke Raleigh Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$192.00,NC
Duke Raleigh Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$335.00,NC
Duke Raleigh Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$580.50,NC
Duke Raleigh Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$757.00,NC
Duke Raleigh Hospital,Hospital,HCPCS 99234,Hospital observation care discharge,$263.50,NC
Duke Raleigh Hospital,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$268.00,NC
Duke Raleigh Hospital,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",$367.00,NC
Duke Raleigh Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,$197.00,NC
Duke Raleigh Hospital,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",$78.50,NC
Duke Raleigh Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$111.24,NC
Duke Raleigh Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$125.14,NC
Duke Raleigh Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$320.50,NC
Duke Raleigh Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$316.87,NC
Duke Raleigh Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$209.00,NC
Duke Raleigh Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$121.00,NC
Duke Raleigh Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$143.29,NC
Duke Raleigh Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$191.50,NC
Duke Raleigh Hospital,Speech,HCPCS 92507,Speech Therapy,$216.00,NC
Duke Raleigh Hospital,Speech,HCPCS 92610,Swallow Evaluation,$236.00,NC
Duke Raleigh Hospital,Speech,HCPCS 92526,Swallow Treatment,$108.00,NC
Duke Raleigh Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$12.00,NC
Duke Raleigh Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$12.00,NC
Duke Raleigh Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$39.59,NC
Duke Raleigh Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$107.54,NC
Duke Raleigh Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$67.41,NC
Duke Raleigh Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$30.00,NC
Duke Raleigh Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$4.63,NC
Duke Raleigh Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$47.35,NC
Duke Raleigh Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$32.50,NC
Duke Raleigh Hospital,Blood,HCPCS 85008,Microscopic examination for white blood cells,$20.68,NC
Duke Raleigh Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$69.00,NC
Duke Raleigh Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$43.49,NC
Duke Raleigh Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$188.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$169.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$193.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$25.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$67.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$84.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82140,Ammonia level,$73.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$54.88,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$80.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$130.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$46.65,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$111.61,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$25.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$28.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$25.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$39.59,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$3.79,NC
Duke Raleigh Hospital,Chemistry,HCPCS 84132,Blood potassium level,$24.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 84295,Blood sodium level,$24.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$28.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$267.08,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82310,Calcium level,$26.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$33.92,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$95.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82465,Cholesterol level,$22.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82525,Copper level,$70.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$81.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$104.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$32.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$75.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$126.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$192.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$68.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$73.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$90.36,NC
Duke Raleigh Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$36.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$48.50,NC
Duke Raleigh Hospital,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$93.00,NC
Duke Raleigh Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$102.00,NC
